easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
1540373.75506805,5263172.74825625,1000,0.5,LTZ,3,782.0686,0.6023249,6,491.11566,0.68166685,12
1742327.2894685,5434775.35486409,1000,0.5,MKBS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1742862.72946683,5430375.1908633,480,0.5,MKVS,3,273.49805,0.5950514,11,691.41766,0.7239429,12
1217722.56545209,4964727.34065646,1500,0.5,MLZ,3,1068.298,0.6903283,5,736.6329,0.65327823,12
1817977.62609899,5495727.42747004,800,0.5,MRZ,3,782.0686,0.6023249,9,495.74252,0.7043546,12
1995813.53977553,5747414.2658532,800,0.5,MWZ,3,782.0686,0.6023249,4,1023.52203,0.707888,12
2068836.4661508,5829494.04943764,1000,0.5,MXZ,3,1068.298,0.6903283,8,614.3239,0.71882683,12
1622963.91930089,5429256.93826988,550,0.5,NELS,3,782.0686,0.6023249,9,495.74252,0.7043546,12
1752679.10079413,5433883.58870974,1000,0.5,NEWS,3,782.0686,0.6023249,7,769.95667,0.7053239,12
2061275.52828653,5773176.16049267,1000,0.5,PUZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1929559.82685889,5561798.19316084,1000,0.5,PWZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1929568.23483428,5561691.31316035,1000,0.5,PXZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1560296.00718345,5480504.54701378,1000,0.5,QRZ,3,1068.298,0.6903283,7,769.95667,0.7053239,12
1946599.8686034,5718376.38476494,1000,0.5,RTZ,3,782.0686,0.6023249,7,769.95667,0.7053239,12
1756241.5363005,5430984.42666602,1000,0.5,SOMS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1781067.72554383,5450336.41833688,800,0.5,TMDS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1761836.56634299,5433778.22096346,1000,0.5,WANS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1881003.61906327,5522481.38758185,800,0.5,WBFS,3,782.0686,0.6023249,9,495.74252,0.7043546,12
1749020.12058609,5429267.00045727,265,0.1,WEMS,1,270.504,0.5950514,15,220.0589,0.4556925,12
1748645.57125233,5426332.54486156,493,0.1,WNHS,1,782.0686,0.6023249,11,691.41766,0.7239429,12
1745879.54589281,5428161.30923353,369,0.1,WNKS,1,269.67847,0.5950514,11,691.41766,0.7239429,12
1763891.7922499,5947911.82177112,800,0.5,ABAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1571672.43435129,5219521.4362217,800,0.5,AMCZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1312188.33505129,4980996.60262272,1000,0.5,AXZ,3,1068.298,0.6903283,9,495.74252,0.7043546,12
1863412.13579004,5624444.88567775,800,0.5,BHHZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1700920.72689288,5377377.77303932,800,0.5,CMWZ,3,782.0686,0.6023249,15,220.0589,0.4556925,12
1124883.7642752,4982914.86803473,1500,0.5,COHF,3,1068.298,0.6903283,255,NA,NA,12
1869646.336644,5466319.37819327,1000,0.5,CPWZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1667376.58271786,5333850.48613707,1000,0.5,CRSZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1151561.03923335,5012045.61119686,1500,0.5,ELDF,3,1068.298,0.6903283,2,730.71454,0.7424247,12
1771641.11337024,5908549.85879033,1000,0.5,ETAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1754273.17226851,5920355.81147164,800,0.5,HBAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1761789.04765109,5735640.29316182,800,0.5,HIZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1751939.23198068,5923488.67647511,800,0.5,KAAZ,3,782.0686,0.6023249,7,769.95667,0.7053239,12
1894643.9452554,5630577.26329625,800,0.5,KWHZ,3,782.0686,0.6023249,12,502.12625,0.6824076,12
1769388.14005806,5929096.61500628,1000,0.5,MBAZ,3,782.0686,0.6023249,15,220.0589,0.4556925,12
1714444.05575427,5673951.04193784,1000,0.5,MHEZ,3,782.0686,0.6023249,15,220.0589,0.4556925,12
2024097.44483677,5654811.81926307,1000,0.1,MHGZ,1,782.0686,0.6023249,11,691.41766,0.7239429,12
1792041.78518857,5891390.53977447,800,0.2,MKAZ,2,782.0686,0.6023249,5,736.6329,0.65327823,12
