wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1571033.70784696703776717 5196821.8680125754326582),1571033.708,5196821.868,205.715,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571930.37209388474002481 5196932.32305823359638453),1571930.372,5196932.323,208.89049,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1572871.01874897978268564 5197086.26051739510148764),1572871.019,5197086.261,223.61743,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573521.27114807534962893 5196876.33527174405753613),1573521.271,5196876.335,237.6489,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575941.35304666310548782 5197323.64861002750694752),1575941.353,5197323.649,171.97668,0.200000003,NA,NA,6,218.65604,0.39401674,15,220.0589,0.4556925
Point (1570087.56033653789199889 5196623.94436934869736433),1570087.56,5196623.944,210.73853,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571259.86949508218094707 5196098.13619436509907246),1571259.869,5196098.136,206.80559,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1572222.75878041377291083 5196403.01922540739178658),1572222.759,5196403.019,198.33429,0.200000003,NA,NA,6,190.12105,0.39401674,16,218.11823,0.39540365
Point (1573082.18330395710654557 5196278.56204492039978504),1573082.183,5196278.562,210.64896,0.200000003,NA,NA,4,258.3832,0.5950514,15,220.0589,0.4556925
Point (1573543.50824303436093032 5196255.06862856075167656),1573543.508,5196255.069,206.35316,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575952.33837683731690049 5196255.05454664211720228),1575952.338,5196255.055,190.76573,0.200000003,NA,NA,6,239,0.39401674,15,220.0589,0.4556925
Point (1571041.94896278600208461 5195445.37958975229412317),1571041.949,5195445.38,181.46552,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1572382.19356440869159997 5195365.90680025238543749),1572382.194,5195365.907,203.12097,0.200000003,NA,NA,6,205.87247,0.39401674,15,220.0589,0.4556925
Point (1572561.87564684567041695 5195382.40017096418887377),1572561.876,5195382.4,201.25429,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575164.3811676767654717 5194760.62694814708083868),1575164.381,5194760.627,187.72246,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575799.88768546422943473 5195019.02579739410430193),1575799.888,5195019.026,191.10437,0.200000003,NA,NA,6,239,0.39401674,16,218.11823,0.39540365
Point (1571186.8948365047108382 5194362.28365004807710648),1571186.895,5194362.284,175.90121,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571678.9592246706597507 5194348.78893774002790451),1571678.959,5194348.789,208.12808,0.200000003,NA,NA,6,204.76987,0.39401674,15,220.0589,0.4556925
Point (1573109.91697211284190416 5194207.84167676605284214),1573109.917,5194207.842,202.41681,0.200000003,NA,NA,6,239,0.39401674,255,NA,NA
Point (1575213.11229906650260091 5193959.43309792783111334),1575213.112,5193959.433,202.04822,0.200000003,NA,NA,6,196.98706,0.39401674,16,218.11823,0.39540365
Point (1575798.88669961038976908 5194407.75986063200980425),1575798.887,5194407.76,191.348,0.200000003,NA,NA,6,239,0.39401674,255,NA,NA
Point (1568031.08461573673412204 5193092.74403889197856188),1568031.085,5193092.744,207.06543,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571417.06230232049711049 5193411.14033402130007744),1571417.062,5193411.14,173.32773,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571499.28101947391405702 5193445.62758653145283461),1571499.281,5193445.628,169.8508,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575125.89674475276842713 5193273.6958429953083396),1575125.897,5193273.696,206.28706,0.200000003,NA,NA,6,200.01996,0.39401674,15,220.0589,0.4556925
Point (1571999.5998342668171972 5192071.6468206150457263),1571999.6,5192071.647,201.30276,0.200000003,NA,NA,6,206.33885,0.39401674,16,218.11823,0.39540365
Point (1574928.97750798938795924 5191863.23685137368738651),1574928.978,5191863.237,202.56708,0.200000003,NA,NA,6,212.16489,0.39401674,16,218.11823,0.39540365
Point (1571385.09465850004926324 5190844.10654056537896395),1571385.095,5190844.107,175.74136,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571699.47066476801410317 5191281.94346326589584351),1571699.471,5191281.943,202.18306,0.200000003,NA,NA,6,190.12105,0.39401674,15,220.0589,0.4556925
Point (1573928.87075173971243203 5190752.65882922615855932),1573928.871,5190752.659,196.89986,0.200000003,NA,NA,6,212.26068,0.39401674,16,218.11823,0.39540365
Point (1575132.65160172199830413 5191308.95065922662615776),1575132.652,5191308.951,192.2823,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1575838.37760831019841135 5191316.95003181416541338),1575838.378,5191316.95,194.12605,0.200000003,NA,NA,6,215.16214,0.39401674,16,218.11823,0.39540365
Point (1570375.99146332475356758 5189748.01009936630725861),1570375.991,5189748.01,165.94211,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571326.12044790480285883 5190533.22347003128379583),1571326.12,5190533.223,180.81415,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571444.07532417098991573 5190550.21806604694575071),1571444.075,5190550.218,182.28604,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572971.74487710371613503 5190141.38601076882332563),1572971.745,5190141.386,194.40909,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573939.86668230686336756 5190731.1671276492998004),1573939.867,5190731.167,196.2542,0.200000003,NA,NA,6,212.26068,0.39401674,16,218.11823,0.39540365
Point (1575340.82356466469354928 5190857.12566626537591219),1575340.824,5190857.126,185.89134,0.200000003,NA,NA,6,225.71506,0.39401674,15,220.0589,0.4556925
Point (1568555.44028588477522135 5189079.23734078463166952),1568555.44,5189079.237,171.52542,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569010.2655524299480021 5189275.1705250721424818),1569010.266,5189275.171,166.34781,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1570292.53131835022941232 5189173.22559573780745268),1570292.531,5189173.226,137.34744,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570974.26774460054002702 5189457.62642553076148033),1570974.268,5189457.626,193.96523,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571674.50639909529127181 5188997.80878029577434063),1571674.506,5188997.809,176.41928,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573028.47769217635504901 5189701.55449104029685259),1573028.478,5189701.554,211.08961,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568397.27104734187014401 5187903.67390393000096083),1568397.271,5187903.674,196.15175,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569240.69478445989079773 5188294.54126711003482342),1569240.695,5188294.541,180.34431,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569440.62105326005257666 5188176.08887276239693165),1569440.621,5188176.089,169.80043,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571136.96717445086687803 5188646.93533928878605366),1571136.967,5188646.935,169.24567,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571955.15797663084231317 5188346.56010326743125916),1571955.158,5188346.56,224.0926,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572996.01049087545834482 5188087.17245111241936684),1572996.01,5188087.172,208.86227,0.200000003,NA,NA,6,208.91597,0.39401674,15,220.0589,0.4556925
Point (1568529.24272052873857319 5186835.57632976118475199),1568529.243,5186835.576,188.72357,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568933.33754393318668008 5186925.55026745144277811),1568933.338,5186925.55,180.70593,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1570437.00377165549434721 5187492.86249702796339989),1570437.004,5187492.862,164.42683,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571122.7446913265157491 5187294.94863115437328815),1571122.745,5187294.949,153.5902,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571986.15906048472970724 5187509.38006881345063448),1571986.159,5187509.38,212.03627,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573055.00001916941255331 5187259.99106195103377104),1573055,5187259.991,203.15843,0.200000003,NA,NA,1,159.1076,0.3545938,15,220.0589,0.4556925
Point (1576067.32953333738259971 5186775.21955448389053345),1576067.33,5186775.22,197.7501,0.200000003,NA,NA,6,211.1638,0.39401674,15,220.0589,0.4556925
Point (1566217.38545126817189157 5185871.8931574635207653),1566217.385,5185871.893,193.12628,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566699.9550842591561377 5185855.90802791807800531),1566699.955,5185855.908,180.80817,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568246.11607280978932977 5186110.84247575048357248),1568246.116,5186110.842,196.24046,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1568876.87400175933726132 5186224.31299275625497103),1568876.874,5186224.313,167.61502,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570057.91945769102312624 5186415.76391332875937223),1570057.919,5186415.764,200.342,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572998.03994184965267777 5186200.89812452346086502),1572998.04,5186200.898,206.71942,0.200000003,NA,NA,6,196.98706,0.39401674,16,218.11823,0.39540365
Point (1573938.41849739337339997 5186507.7942614471539855),1573938.418,5186507.794,204.40501,0.200000003,NA,NA,1,159.1076,0.3545938,15,220.0589,0.4556925
Point (1575071.97910336474888027 5186235.41671086754649878),1575071.979,5186235.417,182.8317,0.200000003,NA,NA,6,208.65291,0.39401674,16,218.11823,0.39540365
Point (1576021.85475305584259331 5186255.92239119112491608),1576021.855,5186255.922,180.39212,0.200000003,NA,NA,6,199.03853,0.39401674,15,220.0589,0.4556925
Point (1576885.5126080522313714 5186274.42802012711763382),1576885.513,5186274.428,210.05858,0.200000003,NA,NA,6,211.6548,0.39401674,15,220.0589,0.4556925
Point (1565528.15554782352410257 5185394.05633089784532785),1565528.156,5185394.056,199.78098,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566147.17555441940203309 5185342.08815832156687975),1566147.176,5185342.088,209.0795,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566967.36698081321083009 5185370.59373762737959623),1566967.367,5185370.594,185.62395,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568315.84736533905379474 5185778.46877340879291296),1568315.847,5185778.469,174.33195,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1569333.73008488910272717 5184918.31611206382513046),1569333.73,5184918.316,160.8721,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570052.94228356913663447 5185444.13246974069625139),1570052.942,5185444.132,174.48625,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573159.99162169406190515 5185410.20630440209060907),1573159.992,5185410.206,203.47551,0.200000003,NA,NA,6,208.97949,0.39401674,16,218.11823,0.39540365
Point (1574095.12777473800815642 5185325.7556040957570076),1574095.128,5185325.756,192.23134,0.200000003,NA,NA,1,159.1076,0.3545938,16,218.11823,0.39540365
Point (1574897.821148392977193 5184855.95283193048089743),1574897.821,5184855.953,180.71045,0.200000003,NA,NA,3,193.07104,0.2840642,15,220.0589,0.4556925
Point (1576013.12455675867386162 5185205.83458003774285316),1576013.125,5185205.835,192.99062,0.200000003,NA,NA,6,201.18008,0.39401674,16,218.11823,0.39540365
Point (1577006.98226564144715667 5185051.91236312128603458),1577006.982,5185051.912,207.14272,0.200000003,NA,NA,6,211.1638,0.39401674,15,220.0589,0.4556925
Point (1577619.7329373185057193 5185383.29109250195324421),1577619.733,5185383.291,196.05266,0.200000003,NA,NA,6,239,0.39401674,255,NA,NA
Point (1566939.15755335032008588 5184260.00778284575790167),1566939.158,5184260.008,176.61682,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1567996.25883744983002543 5184203.05361379031091928),1567996.259,5184203.054,163.80719,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569174.30198755604214966 5184479.97841938026249409),1569174.302,5184479.978,176.74574,0.200000003,NA,NA,1,159.1076,0.3545938,16,218.11823,0.39540365
Point (1570180.42987526976503432 5183919.71582871489226818),1570180.43,5183919.716,184.84416,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571049.09768874594010413 5183785.28818578273057938),1571049.098,5183785.288,175.94011,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1572402.81122033856809139 5184236.1451959665864706),1572402.811,5184236.145,212.24277,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573013.0665369548369199 5184542.03954600170254707),1573013.067,5184542.04,224.1679,0.200000003,NA,NA,6,205.4891,0.39401674,15,220.0589,0.4556925
Point (1573882.49041898222640157 5183868.81897083856165409),1573882.49,5183868.819,186.20279,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575032.53017504536546767 5184219.70446958672255278),1575032.53,5184219.704,188.69041,0.200000003,NA,NA,6,209.40173,0.39401674,15,220.0589,0.4556925
Point (1576173.57694758288562298 5184284.70033358503133059),1576173.577,5184284.7,185.18176,0.200000003,NA,NA,6,210.48042,0.39401674,15,220.0589,0.4556925
Point (1577086.96322768786922097 5184274.22165930736809969),1577086.963,5184274.222,198.97255,0.200000003,NA,NA,6,193.04825,0.39401674,15,220.0589,0.4556925
Point (1577648.48271213239058852 5184641.58581342175602913),1577648.483,5184641.586,205.02011,0.200000003,NA,NA,6,239,0.39401674,15,220.0589,0.4556925
Point (1563017.65410489053465426 5183242.78463948052376509),1563017.654,5183242.785,205.54071,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1567063.90543110808357596 5182738.58109441306442022),1567063.905,5182738.581,217.57079,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1568056.76552196755073965 5183149.95236330851912498),1568056.766,5183149.952,189.98212,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569038.3860283128451556 5183284.42842321563512087),1569038.386,5183284.428,175.0102,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569931.29208196070976555 5183305.94381155166774988),1569931.292,5183305.944,175.46123,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571127.07969992142170668 5183305.97411504201591015),1571127.08,5183305.974,181.4351,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1572011.23715033731423318 5183257.51432634145021439),1572011.237,5183257.514,179.6756,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1572950.11203998071141541 5183603.90194586105644703),1572950.112,5183603.902,198.22249,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573932.98431910225190222 5183259.55770642124116421),1573932.984,5183259.558,179.88855,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575099.27443084376864135 5183231.59363783523440361),1575099.274,5183231.594,168.28813,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1576051.39462509867735207 5183311.58192200306802988),1576051.395,5183311.582,197.12643,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1577035.50318442052230239 5183235.63262349739670753),1577035.503,5183235.633,185.68855,0.200000003,NA,NA,6,205.87247,0.39401674,15,220.0589,0.4556925
Point (1578143.06515686237253249 5182889.79281412996351719),1578143.065,5182889.793,200.6321,0.200000003,NA,NA,6,239,0.39401674,15,220.0589,0.4556925
Point (1563146.88156838854774833 5182508.0573302349075675),1563146.882,5182508.057,225.3846,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1565315.08623704267665744 5182099.7721012644469738),1565315.086,5182099.772,196.90247,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566241.98329214565455914 5182210.75702058989554644),1566241.983,5182210.757,194.0663,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566951.70919042034074664 5182382.21208550687879324),1566951.709,5182382.212,234.88411,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568237.22940273652784526 5182066.36770110111683607),1568237.229,5182066.368,209.39555,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1569000.43162593990564346 5182222.33118585962802172),1569000.432,5182222.331,175.15967,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1570017.29647336667403579 5181985.95096477773040533),1570017.296,5181985.951,181.90968,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571062.88364563300274312 5182235.88417294062674046),1571062.884,5182235.884,192.48439,0.200000003,NA,NA,1,159.1076,0.3545938,16,218.11823,0.39540365
Point (1572072.23924229736439884 5182267.89866531174629927),1572072.239,5182267.899,193.92052,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1573052.3552423391956836 5182263.9252629280090332),1573052.355,5182263.925,194.36453,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1574117.93737055454403162 5182185.98192252404987812),1574117.937,5182185.982,174.83815,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575020.82887153490446508 5182222.48889074381440878),1575020.829,5182222.489,186.09575,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1576047.41959223314188421 5182247.50260057020932436),1576047.42,5182247.503,190.12892,0.200000003,NA,NA,6,196.02051,0.39401674,15,220.0589,0.4556925
Point (1577028.02579681179486215 5182299.00473608355969191),1577028.026,5182299.005,175.56184,0.200000003,NA,NA,3,188.91731,0.2840642,15,220.0589,0.4556925
Point (1578147.57642959081567824 5182239.55297882109880447),1578147.576,5182239.553,194.35391,0.200000003,NA,NA,6,201.18008,0.39401674,15,220.0589,0.4556925
Point (1578442.71153381280601025 5182030.14321314450353384),1578442.712,5182030.143,206.63222,0.200000003,NA,NA,6,239,0.39401674,255,NA,NA
Point (1566237.77049016673117876 5181166.64825745858252048),1566237.77,5181166.648,205.02385,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1567040.96807548054493964 5181096.69874914921820164),1567040.968,5181096.699,209.74026,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1568019.08926706830970943 5181255.16856807749718428),1568019.089,5181255.169,201.10071,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569094.92673731432296336 5181216.7175000449642539),1569094.927,5181216.718,212.45985,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570023.31896058563143015 5181176.26174173783510923),1570023.319,5181176.262,178.22583,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1570998.93510276498273015 5181326.73296242207288742),1570998.935,5181326.733,178.19048,0.200000003,NA,NA,1,159.1076,0.3545938,16,218.11823,0.39540365
Point (1572099.00470182346180081 5181344.75748827867209911),1572099.005,5181344.757,184.15288,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573142.09519133064895868 5181330.79164351243525743),1573142.095,5181330.792,166.53557,0.200000003,NA,NA,6,202.10301,0.39401674,16,218.11823,0.39540365
Point (1574013.50155620835721493 5181311.32241749949753284),1574013.502,5181311.322,193.4582,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575046.84428622131235898 5181200.89246210549026728),1575046.844,5181200.892,192.20518,0.200000003,NA,NA,6,204.76987,0.39401674,15,220.0589,0.4556925
Point (1576113.16189217427745461 5181466.31393824517726898),1576113.162,5181466.314,192.2851,0.200000003,NA,NA,6,204.27756,0.39401674,15,220.0589,0.4556925
Point (1576744.90840526320971549 5181471.32761700823903084),1576744.908,5181471.328,186.39116,0.200000003,NA,NA,3,181.58333,0.2840642,16,218.11823,0.39540365
Point (1577963.42328220931813121 5181214.9593982920050621),1577963.423,5181214.959,177.975,0.200000003,NA,NA,0,NA,NA,255,NA,NA
Point (1578765.10694687603972852 5180836.13065114058554173),1578765.107,5180836.131,199.13791,0.200000003,NA,NA,6,239,0.39401674,15,220.0589,0.4556925
Point (1565352.64429299137555063 5180105.01768911723047495),1565352.644,5180105.018,167.33095,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1566417.97245590342208743 5180598.86722698900848627),1566417.972,5180598.867,177.344,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1567358.87995901331305504 5180163.06162538751959801),1567358.88,5180163.062,183.57124,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1567979.38800363382324576 5180280.53752283565700054),1567979.388,5180280.538,161.97495,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1569274.87741641025058925 5180602.95797326974570751),1569274.877,5180602.958,194.67313,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1570145.55421953462064266 5180168.65320132300257683),1570145.554,5180168.653,169.15259,0.200000003,NA,NA,10,196.45905,0.28294012,16,218.11823,0.39540365
Point (1571020.71210851613432169 5180194.67131509073078632),1571020.712,5180194.671,182.5936,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1571824.39084411435760558 5180400.61636601760983467),1571824.391,5180400.616,202.78473,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573253.84254078567028046 5179918.84773101378232241),1573253.843,5179918.848,180.94688,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1573943.05934660462662578 5180253.23645740933716297),1573943.059,5180253.236,184.28987,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
Point (1575376.74080205988138914 5180163.31191264558583498),1575376.741,5180163.312,183.86073,0.200000003,NA,NA,6,199.55595,0.39401674,15,220.0589,0.4556925
Point (1575958.51295242225751281 5179973.90323880221694708),1575958.513,5179973.903,184.41458,0.200000003,NA,NA,6,205.4891,0.39401674,15,220.0589,0.4556925
Point (1578308.29668247164227068 5180655.19257824774831533),1578308.297,5180655.193,202.84523,0.200000003,NA,NA,6,239,0.39401674,16,218.11823,0.39540365
Point (1578886.08045108779333532 5179880.01971724629402161),1578886.08,5179880.02,180.0788,0.200000003,NA,NA,6,215.79422,0.39401674,15,220.0589,0.4556925
Point (1559817.51909814239479601 5178618.35290095862001181),1559817.519,5178618.353,245.63452,0.200000003,NA,NA,10,196.45905,0.28294012,15,220.0589,0.4556925
