easting,northing
1573030.95171295,5179256.10103775
1573958.33562668,5179190.6557898
1574862.21997085,5179357.11717848
1575916.54899397,5179300.67038463
1579113.2534492,5179254.2790824
1559777.28594328,5178573.86727267
1563830.02824508,5178624.01472353
1565454.94830914,5177826.37689478
1566126.42951308,5178135.28628383
1566998.8480515,5178085.3379993
1567969.73609932,5177800.98337004
1569000.57535646,5178076.91802382
1570089.8968843,5178175.92103462
1571130.73731145,5178216.94318537
1572089.10870031,5178241.96739976
1573142.19131131,5178246.00200317
1574007.59520117,5178290.51322333
1575037.68995097,5178076.63157848
1575644.69196406,5178199.60171729
1579343.42882523,5178507.58873203
1563475.98528029,5176980.61182288
1564067.00501192,5177138.07842467
1565031.61886323,5177602.44427876
1566285.65827672,5177209.14321922
1567074.35268522,5177283.14630394
1568173.18210671,5177199.72218851
1569030.60158451,5177130.7838864
1570182.14724498,5177233.29017324
1570980.57937191,5177339.27978619
1571963.44483218,5177247.3528244
1573029.01866314,5177332.35838983
1573963.89956092,5177220.93575194
1574788.31132001,5177442.37610056
1575987.58400314,5177262.98807657
1576340.94299671,5177197.52639331
1578566.03092007,5177344.53913981
1578854.16487972,5177271.5777561
1562915.000095,5175873.49881193
1564120.02524831,5176278.90238656
1564533.11080854,5176443.85871184
1566043.0683925,5175729.19510599
1566804.50783038,5176118.57960195
1567989.54296055,5176277.06886809
1569476.71697772,5176182.1694804
1570103.96578457,5176303.14872864
1571027.35972601,5176115.26006235
1571626.35380923,5176586.59925287
1572805.38319346,5176648.62015037
1574053.87778177,5176825.09621612
1574993.01461054,5176429.78760003
1576341.46484108,5176543.78959727
1579021.11092044,5176789.27970252
1561322.66049711,5174664.86883691
1562703.85190773,5175431.1534286
1563093.46896222,5175158.77375118
1563926.15968755,5175042.35742583
1564889.77821923,5175339.79069094
1566088.07145545,5175301.85972171
1567655.97353713,5175152.98637846
1569073.65801225,5175422.94649648
1571374.74890764,5175474.52581289
1574998.28552526,5175804.03840692
1575504.83791659,5175608.63567727
1560931.33113453,5174220.51242839
1562542.71260953,5174473.50208732
1563271.68299034,5174553.50880828
1563800.01392155,5173959.75825297
1565276.18351505,5174281.70973632
1565945.16136304,5174586.12583077
1557552.64152412,5173199.19648895
1563202.53130101,5173218.50588893
1563929.75943101,5173130.07772173
1565161.03261518,5173232.10304845
1568008.95227042,5172784.91892009
1564566.58939345,5171813.61162922
1567984.96250238,5172768.92388714
1564598.57904473,5171779.62635368
1564399.33598184,5168806.75178969
1559772.92860606,5167676.87144864
1564229.45317741,5168015.54481977
1564609.52570797,5168479.39085764
1559664.98004753,5167525.92020119
1559845.91261895,5167514.93712071
1564107.80305302,5167228.33952344
1560535.77883212,5165770.14268385
1562714.94523548,5165754.3084695
1564048.416256,5165931.83520516
1560212.47567868,5164800.98407976
1562317.11193669,5165570.84976149
1563316.49400979,5165325.51665105
1563932.4986432,5165411.52793593
1559690.22212824,5164191.17328673
1559710.96333402,5164202.6705973
1572133.93878793,5178976.22569943
1572136.3989967,5178977.50689268
1572102.11271038,5178921.86469032
1572001.30604432,5178854.93018094
1571935.82868708,5178888.9737796
1577786.16740738,5180826.65376973
1574604.41268797,5182886.66372532
1572955.50370582,5183132.31520859
1571929.50418328,5197002.85539143
1572452.65327357,5183028.17291301
1574701.45700257,5182665.0316695
1575766.68002513,5183820.45812427
1570313.33049845,5180888.897557
1568658.30361972,5180927.98921469
1573004.51328034,5196784.81864157
1572389.7463268,5196595.92787898
1573164.86200576,5196868.91661965
1572205.85078832,5196831.57152056
1571516.68040511,5196997.73869797
1570531.06042313,5180447.55085238
1570663.88542736,5180526.08587177
1571093.51377854,5180403.38998899
1564886.71499765,5182945.91281936
1569572.57924847,5176184.17137887
1571538.10205339,5183443.79056195
1571622.99042502,5180867.01468411
1573666.04690734,5178401.13933416
1569320.65181097,5190100.75909926
1568979.42367378,5179482.24017624
1565724.05466414,5181051.36222689
1571123.97393483,5180201.43351901
1574579.81234614,5181889.27511713
1576478.58008841,5184500.83672546
1568717.75971558,5186177.86832485
1564915.84415151,5179727.89413084
1578520.07342995,5179986.3797679
1933261.13796534,5620565.33963384
1935265.31186779,5621691.48557128
2037740.00310149,5706989.57175206
2037085.67154813,5708273.14800374
2037290.41795092,5708507.08922082
1692922.44761863,5676345.12081259
1709359.83017754,5617533.1717603
1935001.71933718,5619978.38562894
1935001.71933718,5619978.38562894
1937056.97946819,5621669.22788468
1937056.97946819,5621669.22788468
1929774.16624397,5604530.50133583
1906510.67712762,5572463.85265751
1863699.76781105,5544465.7052414
1863439.38632713,5544308.15645568
1881255.41174476,5522762.4736707
1823869.67628001,5463577.59843913
1823869.67628001,5463577.59843913
1785647.90645369,5394870.85042552
1586072.18807048,5292104.49645148
1406787.88784869,4914224.68216575
1623714.86480283,5431110.69921557
1679870.17710108,5403762.60821808
1679870.17710108,5403762.60821808
1600809.50869019,5447413.13907103
1483521.63597722,5376422.41713971
1483521.63597722,5376422.41713971
1505795.19753904,5336649.3518216
