Station,easting,northing,Vs30,Std,q
CPT_103810_measurement_num_0,1931838.12,5620896.96,165.8,,5
CPT_103814_measurement_num_0,1932398.9,5620008.96,164.18,,5
CPT_103815_measurement_num_0,1932374.93,5619985.89,167.49,,5
CPT_103816_measurement_num_0,1932398.11,5619923.72,170.35,,5
CPT_103817_measurement_num_0,1932414.59,5619939.69,171.32,,5
CPT_103818_measurement_num_0,1932162.69,5624318.33,183.97,,5
CPT_10384_measurement_num_0,1577073.01,5183728.41,179.29,,5
CPT_103937_measurement_num_0,1931186.41,5603396.2,208.74,,5
CPT_103978_measurement_num_0,1576887.06,5183504.02,179.7,,5
CPT_103979_measurement_num_0,1909244.61,5808736.07,170.17,,5
CPT_10401_measurement_num_0,1569104,5182900,152.88,,5
CPT_104142_measurement_num_0,1909256.71,5808738.71,168.34,,5
CPT_104143_measurement_num_0,1909240.53,5808735.06,173.92,,5
CPT_104144_measurement_num_0,1575478,5185778,180.84,,5
CPT_10444_measurement_num_0,1575519.71,5179320.65,181.35,,5
CPT_10445_measurement_num_0,1575491.72,5179331.64,181.54,,5
CPT_10447_measurement_num_0,1575540.7,5179259.67,186.27,,5
CPT_104509_measurement_num_0,1570252,5179346,149.09,,5
CPT_10450_measurement_num_0,1575540.7,5179265.67,186.8,,5
CPT_104688_measurement_num_0,1579191.2,5176335.97,142.96,,5
CPT_104689_measurement_num_0,1579195.2,5176336.87,142.5,,5
CPT_104776_measurement_num_0,1571276.27,5183494.9,157.52,,5
CPT_104875_measurement_num_0,1572652.33,5182235.57,170.7,,5
CPT_104897_measurement_num_0,1570053.02,5186429.93,131.26,,5
CPT_104985_measurement_num_0,1570950,5179143,144.9,,5
CPT_104994_measurement_num_0,1570995,5179059,145.5,,5
CPT_104996_measurement_num_0,1571081,5179093,143.87,,5
CPT_104998_measurement_num_0,1570977,5179113,123.98,,5
CPT_104999_measurement_num_0,1571037,5179132,136.97,,5
CPT_105000_measurement_num_0,1571086,5179113,128.2,,5
CPT_105004_measurement_num_0,1570609.61,5187673.86,129.13,,5
CPT_105083_measurement_num_0,1751737.96,5917265.01,172.55,,5
CPT_1050_measurement_num_0,1572285.16,5179150.35,139.71,,5
CPT_1051_measurement_num_0,1572072.34,5179356.86,139.62,,5
CPT_105230_measurement_num_0,1772825.95,5882615.48,201.87,,5
CPT_105231_measurement_num_0,1772883.16,5882590.22,197.96,,5
CPT_105245_measurement_num_0,1772952.39,5882570.93,198.5,,5
CPT_105272_measurement_num_0,1772864.19,5882622.14,198.08,,5
CPT_105273_measurement_num_0,1772916.52,5882519.6,206.96,,5
CPT_105274_measurement_num_0,1772919.05,5882556.07,202.73,,5
CPT_10528_measurement_num_0,1581356.4,5175527.4,151.46,,5
CPT_10533_measurement_num_0,1577057.79,5183728.2,188.69,,5
CPT_105403_measurement_num_0,1573849,5180314,175.41,,5
CPT_10544_measurement_num_0,1574559.42,5181437.42,155.65,,5
CPT_10545_measurement_num_0,1571726.2,5178925.4,153.95,,5
CPT_1054_measurement_num_0,1572292.23,5179451.98,151.11,,5
CPT_105627_measurement_num_0,1574295.79,5180689.53,182.74,,5
CPT_105632_measurement_num_0,1573697.49,5181843.36,168.36,,5
CPT_105633_measurement_num_0,1573707.2,5181839.84,165.57,,5
CPT_105639_measurement_num_0,1572498.08,5178656.79,156.12,,5
CPT_105640_measurement_num_0,1572500.78,5178666.01,157.91,,5
CPT_105749_measurement_num_1,1407884.1,4917952.15,172.22,,5
CPT_105779_measurement_num_0,1570915.92,5179429.1,167.62,,5
CPT_105780_measurement_num_0,1892930.98,5809025.01,204.42,,5
CPT_105788_measurement_num_0,1892950.74,5809147.04,204.77,,5
CPT_1057_measurement_num_0,1572300.37,5179786.74,138.57,,5
CPT_105824_measurement_num_0,1892525.94,5808981.98,206.02,,5
CPT_105825_measurement_num_0,1892437.06,5808964.05,213.67,,5
CPT_105826_measurement_num_0,1892418.18,5809048.96,216.55,,5
CPT_105828_measurement_num_0,1892497.67,5809183.2,225.02,,5
CPT_105830_measurement_num_0,1892437.34,5809130.76,228.91,,5
CPT_105831_measurement_num_0,1892465.12,5809067.15,205.22,,5
CPT_10583_measurement_num_0,1576710.03,5183672.45,182.54,,5
CPT_105844_measurement_num_0,1571265.12,5179618.86,153.8,,5
CPT_105848_measurement_num_0,1571252.5,5179659.12,164.28,,5
CPT_10584_measurement_num_0,1576421.91,5182659.21,189.19,,5
CPT_10585_measurement_num_0,1577035.14,5183349.82,178.89,,5
CPT_10586_measurement_num_0,1576291.97,5182486.5,182.07,,5
CPT_10587_measurement_num_0,1577146.2,5183230.69,181.65,,5
CPT_1058_measurement_num_0,1571861.45,5178939.87,127.92,,5
CPT_10592_measurement_num_0,1576396.46,5182601.37,193.39,,5
CPT_105935_measurement_num_0,1572662.82,5180361.02,168.4,,5
CPT_105936_measurement_num_0,1572641.36,5180350.93,169.28,,5
CPT_10594_measurement_num_0,1576910.42,5183565.83,171.75,,5
CPT_106025_measurement_num_0,1570781.16,5180544.13,111.26,,5
CPT_10604_measurement_num_0,1574830.59,5182031.85,170.05,,5
CPT_10606_measurement_num_0,1575651.72,5182421.88,181.84,,5
CPT_10617_measurement_num_0,1575037.22,5182149.78,151.01,,5
CPT_106617_measurement_num_0,1479423,5272862,213.91,,5
CPT_106618_measurement_num_0,1931729.62,5782577.71,259.18,,5
CPT_106669_measurement_num_0,1793099.03,5835223.63,176.5,,5
CPT_106671_measurement_num_0,1793135.74,5835133.41,167.1,,5
CPT_106798_measurement_num_0,1879008.46,5825037.9,221.49,,5
CPT_106802_measurement_num_0,1879090.51,5825290.04,185.58,,5
CPT_106803_measurement_num_0,1879136.97,5825353.57,172.56,,5
CPT_106805_measurement_num_0,1879134.48,5825211.6,176.69,,5
CPT_106806_measurement_num_0,1879148.17,5825236.42,202.53,,5
CPT_106807_measurement_num_0,1879162.78,5825270.64,187.35,,5
CPT_106809_measurement_num_0,1879405.38,5825604.56,135.92,,5
CPT_106811_measurement_num_0,1879671.09,5825609.91,164.79,,5
CPT_106812_measurement_num_1,1879719.33,5825582.65,194.47,,5
CPT_106813_measurement_num_0,1879689.88,5825560.5,203.82,,5
CPT_106814_measurement_num_0,1879708.15,5825559.01,223.24,,5
CPT_106815_measurement_num_0,1880188.87,5825506.72,225.36,,5
CPT_106816_measurement_num_0,1880229.44,5825518.48,228.63,,5
CPT_106817_measurement_num_0,1880174.09,5825473.78,178.27,,5
CPT_106818_measurement_num_0,1880232.25,5825487.21,179.03,,5
CPT_106819_measurement_num_0,1880507.99,5826078.2,196.99,,5
CPT_106820_measurement_num_0,1880521.89,5826162.68,157.34,,5
CPT_106821_measurement_num_0,1880482.85,5826200.76,212.3,,5
CPT_10694_measurement_num_0,1573141,5186525,186.57,,5
CPT_10695_measurement_num_0,1573157,5186527,185.39,,5
CPT_106_measurement_num_0,1573142.1,5181330.55,145.07,,5
CPT_1071_measurement_num_0,1570406.17,5176324.53,124.29,,5
CPT_10762_measurement_num_0,1574872.98,5180944.8,181.31,,5
CPT_10771_measurement_num_0,1576648.48,5184763.35,170.76,,5
CPT_10772_measurement_num_0,1577180.59,5184655.44,183.77,,5
CPT_10773_measurement_num_0,1576872.33,5184831.52,184.54,,5
CPT_10774_measurement_num_0,1577030.2,5184158.22,190.26,,5
CPT_108011_measurement_num_0,1570947.41,5179657.03,163.34,,5
CPT_108150_measurement_num_0,1843346.93,5805269.19,242.72,,5
CPT_108155_measurement_num_0,1843459.67,5805149.68,209.75,,5
CPT_108166_measurement_num_0,1843417.15,5805003.45,229.51,,5
CPT_108173_measurement_num_0,1843532.8,5804970.14,216.28,,5
CPT_108176_measurement_num_0,1843444.91,5804980.76,215.09,,5
