wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1740120.50286215008236468 5911468.41189706977456808),1740120.503,5911468.412,1000,0.5,WTAZ,3,711.34503,0.91852474,11,691.41766,0.7239429,12
Point (1757836.91276237997226417 5919954.34258763026446104),1757836.913,5919954.343,800,0.5,AKUS,3,782.0686,0.6023249,8,614.3239,0.71882683,12
Point (1927505.06961578992195427 5587875.3068384500220418),1927505.07,5587875.307,800,0.5,CREC,3,782.0686,0.6023249,15,220.0589,0.4556925,12
Point (1751943.27723280992358923 5923486.48760594986379147),1751943.277,5923486.488,1000,0.5,KAPS,3,782.0686,0.6023249,7,769.95667,0.7053239,12
Point (1911942.71550530008971691 5626091.94282663986086845),1911942.716,5626091.943,1000,0.5,KONC,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1955644.7556456399615854 5678083.04184553027153015),1955644.756,5678083.042,800,0.5,LPIH,3,782.0686,0.6023249,13,255.27419,0.65902555,12
Point (1825314.37024874007329345 5628628.83526905998587608),1825314.37,5628628.835,800,0.5,LWON,3,782.0686,0.6023249,15,220.0589,0.4556925,12
Point (1753813.44326067995280027 5916456.51695633959025145),1753813.443,5916456.517,584,0.5,MAGS,3,782.0686,0.6023249,14,302.07278,0.53168344,12
Point (1951843.82490468001924455 5691225.76015247032046318),1951843.825,5691225.76,1000,0.5,PAHZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1960232.11284345993772149 5693952.51838328968733549),1960232.113,5693952.518,800,0.5,TAPC,3,782.0686,0.6023249,6,491.11566,0.68166685,12
Point (1960258.61678687995299697 5693951.31271926034241915),1960258.617,5693951.313,800,0.5,TUIC,3,782.0686,0.6023249,6,491.11566,0.68166685,12
Point (1780138.19466133997775614 5449779.62888258043676615),1780138.195,5449779.629,506,0.5,123A,3,269.4984,0.5950514,11,691.41766,0.7239429,10
Point (1763856.72842675005085766 5436556.79101321008056402),1763856.728,5436556.791,600,0.5,465A,3,269.76874,0.5950514,10,361.86108,0.53872114,10
Point (1763856.72842675005085766 5436556.79101321008056402),1763856.728,5436556.791,600,0.5,465B,3,269.76874,0.5950514,10,361.86108,0.53872114,10
Point (1763894.04650738998316228 5437077.98701552022248507),1763894.047,5437077.987,190,0.1,468A,1,266.16132,0.5950514,16,218.11823,0.39540365,10
Point (1761681.55187893006950617 5438327.37140148039907217),1761681.552,5438327.371,800,0.5,602C,3,274.13568,0.5950514,9,495.74252,0.7043546,10
Point (1755902.4249960700981319 5434739.40803771000355482),1755902.425,5434739.408,800,0.5,603B,3,275,0.5950514,9,495.74252,0.7043546,10
Point (1761252.04732196009717882 5436737.3323241900652647),1761252.047,5436737.332,330,0.2,651A,2,261.68674,0.5950514,15,220.0589,0.4556925,10
Point (1755320.27424380998127162 5444185.58429601043462753),1755320.274,5444185.584,570,0.5,705B,3,269.28812,0.5950514,11,691.41766,0.7239429,10
Point (1755277.30969232995994389 5444153.44894030969589949),1755277.31,5444153.449,570,0.5,707A,3,269.28812,0.5950514,9,495.74252,0.7043546,10
Point (1763856.72842675005085766 5436556.79101321008056402),1763856.728,5436556.791,300,0.5,DAVS,3,269.76874,0.5950514,10,361.86108,0.53872114,10
Point (1770864.98748566000722349 5443714.86563233006745577),1770864.987,5443714.866,500,0.5,HIBS,3,262.07254,0.5950514,15,220.0589,0.4556925,10
Point (1761531.51462303008884192 5436698.51826092973351479),1761531.515,5436698.518,330,0.2,LNBS,2,260.8229,0.5950514,14,302.07278,0.53168344,10
Point (1759597.72162892995402217 5434025.08085590973496437),1759597.722,5434025.081,256,0.1,LRSS,1,254.2112,0.5950514,15,220.0589,0.4556925,10
Point (1763814.32761845993809402 5436948.42262934986501932),1763814.328,5436948.423,190,0.1,NBSS,1,266.16132,0.5950514,14,302.07278,0.53168344,10
Point (1755929.78229592996649444 5434821.86925800982862711),1755929.782,5434821.869,450,0.5,PTOS,3,275,0.5950514,5,736.6329,0.65327823,10
Point (1763954.66498335008509457 5439376.20044904015958309),1763954.665,5439376.2,510,0.1,TAIS,1,261.25446,0.5950514,15,220.0589,0.4556925,10
Point (1775111.24707249994389713 5447500.18351540993899107),1775111.247,5447500.184,500,0.5,TOTS,3,273.66135,0.5950514,14,302.07278,0.53168344,10
Point (1771321.66525775007903576 5445157.62266797013580799),1771321.665,5445157.623,390,0.1,UHCS,1,262.19586,0.5950514,15,220.0589,0.4556925,10
Point (1773350.53372380998916924 5445158.09407148044556379),1773350.534,5445158.094,481,0.1,UHSS,1,262.807,0.5950514,14,302.07278,0.53168344,10
Point (1785647.90645369002595544 5394870.85042551998049021),1785647.906,5394870.85,511,0.5,040A,3,387.9002,0.68287367,5,736.6329,0.65327823,7
Point (1786202.7472022098954767 5393437.51718278974294662),1786202.747,5393437.517,600,0.5,NWFS,3,387.9002,0.68287367,6,491.11566,0.68166685,7
Point (1762053.43964359001256526 5431795.01635884027928114),1762053.44,5431795.016,190,0.2,PRKS,2,387.9002,0.68287367,13,255.27419,0.65902555,7
Point (2037085.67154812999069691 5708273.14800374023616314),2037085.672,5708273.148,162,0.1,017A,1,213.60303,0.39401674,16,218.11823,0.39540365,6
Point (2037290.41795092006213963 5708507.08922081999480724),2037290.418,5708507.089,138,0.2,018A,2,199.03853,0.39401674,15,220.0589,0.4556925,6
Point (1709359.8301775399595499 5617533.17176030017435551),1709359.83,5617533.172,210,0.2,025A,2,439.86578,0.702906,16,218.11823,0.39540365,6
Point (1937056.97946819011121988 5621669.2278846800327301),1937056.979,5621669.228,268,0.5,027F,3,239,0.39401674,10,361.86108,0.53872114,6
Point (1937056.97946819011121988 5621669.2278846800327301),1937056.979,5621669.228,268,0.5,027G,3,239,0.39401674,10,361.86108,0.53872114,6
Point (2003322.98076072009280324 5798299.04140041023492813),2003322.981,5798299.041,522,0.5,113A,3,439.86578,0.702906,6,491.11566,0.68166685,6
Point (1806928.45466470997780561 5549379.88053811993449926),1806928.455,5549379.881,387,0.5,114A,3,439.86578,0.702906,15,220.0589,0.4556925,6
Point (1760658.41198629001155496 5433384.82110907044261694),1760658.412,5433384.821,350,0.2,249A,2,239,0.39401674,6,491.11566,0.68166685,6
Point (1756891.3706607399508357 5434433.01929472014307976),1756891.371,5434433.019,161,0.5,601A,3,239,0.39401674,255,NA,NA,6
Point (1757524.63406548998318613 5434663.83432327955961227),1757524.634,5434663.834,200,0.2,608A,2,190.12105,0.39401674,16,218.11823,0.39540365,6
Point (1760666.08487152005545795 5433384.65181931015104055),1760666.085,5433384.652,350,0.1,642A,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760736.0682224000338465 5433483.10595258977264166),1760736.068,5433483.106,350,0.1,642E,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760668.65184451011009514 5433385.01890403032302856),1760668.652,5433385.019,350,0.1,642G,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760666.08487152005545795 5433384.65181931015104055),1760666.085,5433384.652,350,0.1,642H,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1757808.76725217001512647 5435257.23878161981701851),1757808.767,5435257.239,189,0.5,644C,3,229.62808,0.39401674,13,255.27419,0.65902555,6
Point (1754355.5855618400964886 5445039.43771461956202984),1754355.586,5445039.438,275,0.5,708A,3,239,0.39401674,14,302.07278,0.53168344,6
Point (1751345.96707716002129018 5423443.07442533038556576),1751345.967,5423443.074,239,0.2,912A,2,212.684,0.39401674,15,220.0589,0.4556925,6
Point (1936878.57231576996855438 5621710.09748494997620583),1936878.572,5621710.097,429,0.5,926A,3,234.15837,0.39401674,7,769.95667,0.7053239,6
Point (1759873.9879075800999999 5432446.59546773042529821),1759873.988,5432446.595,180,0.1,934B,1,228.85172,0.39401674,15,220.0589,0.4556925,6
Point (1759115.62319913995452225 5427371.36056324001401663),1759115.623,5427371.361,540,0.2,EBPS,2,239,0.39401674,1,791.7739,0.6686169,6
Point (2037080.17362883989699185 5708245.82928689010441303),2037080.174,5708245.829,162,0.1,GISS,1,212.88242,0.39401674,16,218.11823,0.39540365,6
Point (1709426.36045980011112988 5617511.05561309959739447),1709426.36,5617511.056,210,0.2,HWHS,2,439.86578,0.702906,16,218.11823,0.39540365,6
Point (1758704.16889639990404248 5433887.4074516398832202),1758704.169,5433887.407,212,0.1,LHUS,1,239,0.39401674,16,218.11823,0.39540365,6
Point (1760851.67644774005748332 5433677.58443528041243553),1760851.676,5433677.584,400,0.5,LIRS,3,238.9501,0.39401674,10,361.86108,0.53872114,6
Point (1752206.39835680997930467 5424691.5379631295800209),1752206.398,5424691.538,274,0.1,MISS,1,222.52544,0.39401674,13,255.27419,0.65902555,6
Point (1785737.13955773995257914 5395072.83377425000071526),1785737.14,5395072.834,800,0.5,NMPS,3,239,0.39401674,2,730.71454,0.7424247,6
Point (1936784.14675468998029828 5621565.26159221027046442),1936784.147,5621565.262,600,0.5,NSPS,3,234.15837,0.39401674,6,491.11566,0.68166685,6
Point (1757530.02175165992230177 5434617.10943770036101341),1757530.022,5434617.109,200,0.2,PGMS,2,190.12105,0.39401674,16,218.11823,0.39540365,6
Point (1754366.85360972001217306 5445026.91254623979330063),1754366.854,5445026.913,275,0.5,POLS,3,239,0.39401674,14,302.07278,0.53168344,6
Point (1757066.44314385997131467 5434600.42574321012943983),1757066.443,5434600.426,190,0.2,PVCS,2,239,0.39401674,16,218.11823,0.39540365,6
Point (1753785.98822683002799749 5423374.41751352977007627),1753785.988,5423374.418,305,0.1,SEAS,1,239,0.39401674,255,NA,NA,6
Point (1774991.46044166991487145 5577600.11720823030918837),1774991.46,5577600.117,250,0.5,WCDS,3,405.4836,0.5624408,15,220.0589,0.4556925,6
Point (1751392.94301523989997804 5423428.96002312004566193),1751392.943,5423428.96,229,0.1,WNAS,1,212.684,0.39401674,15,220.0589,0.4556925,6
