wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1775417.53180645010434091 5577577.19172963965684175),1775417.532,5577577.192,250,0.2,302A,2,266.47516,0.5950514,15,220.0589,0.4556925,4
Point (2028418.59431931003928185 5713066.0720659801736474),2028418.594,5713066.072,156,0.1,709A,1,258.58496,0.5950514,16,218.11823,0.39540365,4
Point (1932844.28486439003609121 5601550.10767308995127678),1932844.285,5601550.108,256,0.1,928B,1,269.16745,0.5950514,11,691.41766,0.7239429,4
Point (2028522.14150518993847072 5713256.36885355971753597),2028522.142,5713256.369,156,0.1,GWTS,1,258.58496,0.5950514,16,218.11823,0.39540365,4
Point (1929764.43802405009046197 5604487.21285765990614891),1929764.438,5604487.213,196,0.1,HCDS,1,261.7628,0.5950514,16,218.11823,0.39540365,4
Point (1932836.63095407001674175 5601555.10687220003455877),1932836.631,5601555.107,256,0.1,HNPS,1,269.16745,0.5950514,11,691.41766,0.7239429,4
Point (1925350.84855345007963479 5778417.68129677977412939),1925350.849,5778417.681,220,0.2,KAFS,2,263.4218,0.5950514,16,218.11823,0.39540365,4
Point (1983055.45343014993704855 5670097.45201839040964842),1983055.453,5670097.452,155,0.2,WFSS,2,275,0.5950514,15,220.0589,0.4556925,4
Point (1802105.5085277899634093 5815487.61686537973582745),1802105.509,5815487.617,182,0.1,HBHS,1,263.54578,0.5950514,15,220.0589,0.4556925,4
Point (1933261.13796533993445337 5620565.33963384013622999),1933261.138,5620565.34,176,0.1,014A,1,183.16321,0.2840642,15,220.0589,0.4556925,3
Point (1935001.71933718002401292 5619978.38562893960624933),1935001.719,5619978.386,230,0.2,027A,2,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (1935001.71933718002401292 5619978.38562893960624933),1935001.719,5619978.386,230,0.2,027C,2,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (2036798.87112874002195895 5711013.53640193957835436),2036798.871,5711013.536,275,0.1,GHHS,1,271.24573,0.5950514,15,220.0589,0.4556925,3
Point (1933111.06529977009631693 5624044.5027615400031209),1933111.065,5624044.503,243,0.1,NAAS,1,182.06424,0.2840642,16,218.11823,0.39540365,3
Point (1933299.61897674994543195 5620542.88917589001357555),1933299.619,5620542.889,176,0.1,NCDS,1,183.16321,0.2840642,15,220.0589,0.4556925,3
Point (1935057.33832275005988777 5619744.70983992982655764),1935057.338,5619744.71,230,0.1,NCHS,1,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (1749109.13645376008935273 5426688.27068828046321869),1749109.136,5426688.271,245,0.2,132A,2,242,0.25372875,13,255.27419,0.65902555,2
Point (1748882.38846273999661207 5427848.33264780975878239),1748882.388,5427848.333,474,0.2,647A,2,418,0.25372875,255,NA,NA,2
Point (1748797.09240121999755502 5427803.04927515983581543),1748797.092,5427803.049,474,0.2,647D,2,418,0.25372875,10,361.86108,0.53872114,2
Point (1748954.06521810009144247 5427291.40192213002592325),1748954.065,5427291.402,267,0.2,900B,2,261.12537,0.25372875,15,220.0589,0.4556925,2
Point (1748942.15689598000608385 5428769.06420687958598137),1748942.157,5428769.064,250,0.2,907A,2,376.76178,0.25372875,14,302.07278,0.53168344,2
Point (1748786.97233297000639141 5427683.35131589975208044),1748786.972,5427683.351,358,0.2,911A,2,418,0.25372875,10,361.86108,0.53872114,2
Point (1748954.06521810009144247 5427291.40192213002592325),1748954.065,5427291.402,272,0.2,941A,2,261.12537,0.25372875,15,220.0589,0.4556925,2
Point (1748946.8718947300221771 5427751.2568960003554821),1748946.872,5427751.257,323,0.1,FKPS,1,418,0.25372875,255,NA,NA,2
Point (1749605.65599732007831335 5430010.42431875038892031),1749605.656,5430010.424,210,0.1,PIPS,1,418,0.25372875,255,NA,NA,2
Point (1748637.57650758000090718 5429504.8938696701079607),1748637.577,5429504.894,453,0.1,POTS,1,418,0.25372875,2,730.71454,0.7424247,2
Point (1749127.93534163990989327 5426794.65594585984945297),1749127.935,5426794.656,246,0.1,RQGS,1,242,0.25372875,13,255.27419,0.65902555,2
Point (1749133.80125538003630936 5427454.22772120963782072),1749133.801,5427454.228,292,0.1,TEPS,1,418,0.25372875,255,NA,NA,2
Point (1749334.47258226992562413 5429133.86765369959175587),1749334.473,5429133.868,271,0.1,TFSS,1,348.56216,0.25372875,11,691.41766,0.7239429,2
Point (1748934.61604341003112495 5428650.58471671957522631),1748934.616,5428650.585,286,0.1,VUWS,1,395.59198,0.25372875,16,218.11823,0.39540365,2
Point (1749246.26462362008169293 5428760.7099117198958993),1749246.265,5428760.71,244,0.1,CPLB,1,340.61697,0.25372875,255,NA,NA,2
Point (1763209.60825167992152274 5430872.9892619401216507),1763209.608,5430872.989,120,0.1,646A,1,159.1076,0.3545938,13,255.27419,0.65902555,1
Point (1763194.98399524996057153 5430962.30098468996584415),1763194.984,5430962.301,120,0.1,646B,1,159.1076,0.3545938,13,255.27419,0.65902555,1
Point (1763194.98399524996057153 5430962.30098468996584415),1763194.984,5430962.301,120,0.1,646C,1,159.1076,0.3545938,13,255.27419,0.65902555,1
Point (1763234.40635467995889485 5430838.1106778597459197),1763234.406,5430838.111,120,0.1,WDAS,1,159.1076,0.3545938,13,255.27419,0.65902555,1
