wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1748066.64827973139472306 5428153.52842335216701031),1748066.648,5428153.528,1000,0.5,918C,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1748775.61484355689026415 5427128.54569627996534109),1748775.615,5427128.546,307,0.2,919A,2,4,270.08002,0.5950514,14,302.07278,0.53168344
Point (1748527.20995223661884665 5428921.60740426182746887),1748527.21,5428921.607,330,0.5,921A,3,4,271.62134,0.5950514,9,495.74252,0.7043546
Point (1936878.57231577392667532 5621710.0974849546328187),1936878.572,5621710.097,429,0.5,926A,3,6,234.15837,0.39401674,7,769.95667,0.7053239
Point (1932844.28486439492553473 5601550.10767309088259935),1932844.285,5601550.108,256,0.1,928B,1,4,269.20703,0.5950514,11,691.41766,0.7239429
Point (1924789.46051859040744603 5778194.53225291892886162),1924789.461,5778194.532,320,0.5,931B,3,4,268.4754,0.5950514,15,220.0589,0.4556925
Point (1878446.88401429541409016 5822916.8102415818721056),1878446.884,5822916.81,229,0.5,933B,3,15,1068.298,0.6903283,15,220.0589,0.4556925
Point (1759873.98790758033283055 5432446.59546772763133049),1759873.988,5432446.595,180,0.1,934B,1,6,207.50981,0.39401674,15,220.0589,0.4556925
Point (1748954.06521809590049088 5427291.40192212630063295),1748954.065,5427291.402,272,0.2,941A,2,2,261.12537,0.25372875,15,220.0589,0.4556925
Point (1874354.19076092028990388 5491735.28998621832579374),1874354.191,5491735.29,800,0.5,BFZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1761516.35850200243294239 5438210.27098901569843292),1761516.359,5438210.271,1000,0.5,BMTS,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1763856.72842674935236573 5436556.79101320542395115),1763856.728,5436556.791,300,0.5,DAVS,3,4,271.18033,0.5950514,10,361.86108,0.53872114
Point (1759115.62319914111867547 5427371.3605632409453392),1759115.623,5427371.361,540,0.2,EBPS,2,6,239,0.39401674,1,791.7739,0.6686169
Point (1762656.50399835663847625 5436404.43612347077578306),1762656.504,5436404.436,1000,0.5,FAIS,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1748946.87189472583122551 5427751.25689600128680468),1748946.872,5427751.257,323,0.1,FKPS,1,2,418,0.25372875,255,NA,NA
Point (2036798.87112873769365251 5711013.53640193585306406),2036798.871,5711013.536,275,0.1,GHHS,1,4,271.24573,0.5950514,15,220.0589,0.4556925
Point (2037080.17362883966416121 5708245.82928688731044531),2037080.174,5708245.829,162,0.1,GISS,1,6,213.60303,0.39401674,16,218.11823,0.39540365
Point (2028522.14150519180111587 5713256.3688535587862134),2028522.142,5713256.369,156,0.1,GWTS,1,4,254.2112,0.5950514,16,218.11823,0.39540365
Point (2021409.04579288419336081 5810462.3442190233618021),2021409.046,5810462.344,600,0.5,HAZ,3,4,275,0.5950514,1,791.7739,0.6686169
Point (1929764.43802405172027647 5604487.21285765804350376),1929764.438,5604487.213,196,0.1,HCDS,1,4,261.7628,0.5950514,16,218.11823,0.39540365
Point (1770864.98748565791174769 5443714.86563233099877834),1770864.987,5443714.866,500,0.5,HIBS,3,4,262.07254,0.5950514,15,220.0589,0.4556925
Point (1932836.63095406675711274 5601555.10687220003455877),1932836.631,5601555.107,256,0.1,HNPS,1,4,269.20703,0.5950514,11,691.41766,0.7239429
Point (1766266.39383048797026277 5442484.09042050130665302),1766266.394,5442484.09,526,0.5,HSSS,3,12,782.0686,0.6023249,8,614.3239,0.71882683
Point (1709426.36045979568734765 5617511.05561310052871704),1709426.36,5617511.056,210,0.2,HWHS,2,13,439.86578,0.702906,16,218.11823,0.39540365
Point (1925350.84855345170944929 5778417.68129677604883909),1925350.849,5778417.681,220,0.2,KAFS,2,4,259.0881,0.5950514,16,218.11823,0.39540365
Point (1898406.12034380133263767 5629391.36155001819133759),1898406.12,5629391.362,760,0.5,KFHS,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (2004671.49607133166864514 5670404.74277654103934765),2004671.496,5670404.743,800,0.5,KNZ,3,12,782.0686,0.6023249,3,934.96515,0.6438865
Point (1758704.16889639827422798 5433887.40745163802057505),1758704.169,5433887.407,212,0.1,LHUS,1,6,239,0.39401674,16,218.11823,0.39540365
Point (1760851.67644774122163653 5433677.58443528134375811),1760851.676,5433677.584,400,0.5,LIRS,3,6,238.9501,0.39401674,10,361.86108,0.53872114
Point (1761531.51462303288280964 5436698.51826092693954706),1761531.515,5436698.518,330,0.2,LNBS,2,4,260.8229,0.5950514,14,302.07278,0.53168344
Point (1759597.72162893298082054 5434025.0808559088036418),1759597.722,5434025.081,256,0.1,LRSS,1,4,254.2112,0.5950514,15,220.0589,0.4556925
